Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
5f2vgmp6ECbSFHvykGWkjzdxxSYD9JmT6QTm9f9jfVVh,997500.00,,,
8B1cAPkuZ347VPtERwbL7XTAYiEhtCydRDgA3HBd3zjE,997500.00,,,
6gJFTDGFbSEEKj8oXiYf4JAYp5NcxtJyzK9RsdPK9Z5T,992267.54,,,
8og9cGUhGw7AaxfyJq2xY4691wDdvNTum2BSxJQivZa3,984411.19,,,
FP6aFXNJ7xGy1sM72ee9etNeRacxXKCYM391tPjGhPKJ,980186.52,,,
H9t7wLWw9TgfvTZYTJDKqoR2h386fmtBcp4tki51hFsi,976467.21,,,
FBrRa74zUVJ4uvZK3XMbkUSUFTNTVjKBbHN1koVW43U6,975803.99,,,
4gXs8oc2yEwDTPkDyo6V8ZixheTCZvu8JicrEuDat8tH,975587.01,,,
5Ncyw8po9hkp6KiFmw6wwPJ43t2jFe5AJv48X8QvoCEF,962851.53,,,
8UssCbQrYDApWsBtm9zwKQLUN7bcmxKKjmkqSSKvhqGH,956082.22,,,
6P98UCVhNY8Yj2Bp8osHgUuXZGikFi4ZdWPK6o3Eaitv,951958.81,,,
EB4Ax2bZkDQNXPsKYNCmqXyBQ9DManPqT5aWEc4D8KZW,940000.16,,,
6XG66ZiVGKpPKjMNVZQex2EaTsUgwp7vd3hF3DwmPwXt,940000.00,,,
7iavA3gFE7TdBeLWUug9eM2tGU9Pjra8o1Kwm6GpS66t,929439.51,,,
98zoZTYqK4hDB5MZvv2sYhRbKf3ZbUxJp3ZDfL8pibcF,929034.67,,,
25CxFB3n1DwwnhQiaQesHH4RDrP1fpUdaPwtWKSkpmoK,925687.26,,,
FpF9k2Hb4B1iQkpAFb3tSnrni1Tz991Fv9XWBP86TDp2,910451.68,,,
4mK9yCvQQPm1aZcREB4Du2DmLM1V9FoUWXoRgYuUDqB9,908195.93,,,
Cn4PFeEoYEESmaxyxButz4tPeJwTPe9Wu1brLN4ZoAjm,900000.00,,,
5Y1DvsAzqFyV9LfiQNTVQkQBEiBDdohnu6T53PTtmqR5,900000.00,,,
2zWLX9LQmQyLaHC24zFGgraurMEcrNPQ7MXrEQqkBmn5,900000.00,,,
AgsYPSd9jQZEpbTMsvBWKdiAux3eyghdSY355QVHH9Hs,899581.05,,,
81xQTYfjgdE1be9S2kGa1Tyej7PjUpmDkDYwZUzvKq4h,886695.11,,,
